crop_name,description,growing_season,growth_period,soil_requirements,watering_requirements,sunlight_requirements,temperature_range,planting_method,spacing_requirements,fertilizer_requirements,disease_prevention,harvest_time,special_care,image_url
Apple,"Apples are one of the most popular fruits worldwide, known for their crisp texture and sweet or tart flavor. They are rich in fiber, vitamin C, and antioxidants. Apple trees can live for decades and produce fruit for many years when properly cared for.","Spring (March-May), Fall (September-November)","3-5 years to first fruit, 10-15 years to full production","Well-drained, loamy soil with pH 6.0-7.0","Deep watering 1-2 times per week, more frequent during dry spells","Full sun (6-8 hours daily)","-20°C to 30°C (hardy in USDA zones 3-8)","Plant bare-root or container trees in early spring or fall","15-20 feet apart for standard trees, 8-12 feet for dwarf varieties","Apply balanced fertilizer (10-10-10) in early spring, avoid late season fertilization","Prune regularly to improve air circulation, remove dead branches, apply dormant oil spray in late winter, monitor for pests and diseases, use disease-resistant varieties when possible","Late summer to early fall (August-October)","Protect from frost in spring, thin fruit to improve quality, provide support for young trees, mulch around base to retain moisture"
Blueberry,"Blueberries are small, sweet, and nutrient-dense fruits packed with antioxidants, vitamin C, and fiber. They are known for their brain-boosting properties and anti-inflammatory benefits. Blueberry bushes are perennial and can produce fruit for 20+ years.","Spring (March-May)","2-3 years to first fruit, 5-7 years to full production","Acidic soil (pH 4.5-5.5), well-drained, rich in organic matter","Consistent moisture, water when top inch of soil is dry","Full sun (6-8 hours daily)","-20°C to 30°C (hardy in USDA zones 3-8)","Plant container-grown or bare-root plants in early spring","4-6 feet apart for highbush varieties, 2-3 feet for lowbush","Use acidic fertilizer (azalea/camellia type) in early spring and after harvest","Maintain soil acidity with sulfur or peat moss, mulch with pine needles or sawdust, ensure good drainage, avoid overhead watering, prune in late winter to remove old canes","Early to mid-summer (June-August)","Protect from birds with netting, maintain consistent soil moisture, avoid excessive nitrogen which can reduce fruit production"
Cherry,"Cherries are delicious stone fruits available in sweet and sour varieties. They are rich in antioxidants, vitamin C, and melatonin. Cherry trees are beautiful ornamental trees that also produce tasty fruit.","Spring (March-April)","3-5 years to first fruit, 7-10 years to full production","Well-drained, sandy loam soil with pH 6.0-7.5","Deep watering weekly, more frequent during dry periods","Full sun (6-8 hours daily)","-15°C to 30°C (hardy in USDA zones 4-9)","Plant bare-root trees in early spring","15-20 feet apart for standard trees","Apply balanced fertilizer in early spring, avoid over-fertilization","Prune to maintain open canopy, remove diseased branches, apply fungicides preventively, use disease-resistant varieties, monitor for pests like cherry fruit fly","Late spring to early summer (May-July)","Protect from birds, harvest when fully ripe, thin fruit clusters for better quality, provide winter protection in cold climates"
Corn,"Corn is a staple cereal grain and one of the world's most important crops. It's rich in carbohydrates, fiber, and essential nutrients. Sweet corn is popular for fresh consumption, while field corn is used for animal feed and industrial purposes.","Spring (April-June), after last frost","60-100 days depending on variety","Well-drained, fertile soil with pH 6.0-7.0","1-2 inches of water per week, more during tasseling and silking","Full sun (8+ hours daily)","15°C to 30°C (grows best in warm temperatures)","Plant seeds directly in ground 1-2 inches deep","8-12 inches apart in rows 30-36 inches apart","Side-dress with nitrogen fertilizer when plants are 12 inches tall and again when tassels appear","Rotate crops annually, plant in blocks for better pollination, remove weeds regularly, use resistant varieties, monitor for pests and diseases","Late summer to early fall (August-October)","Harvest when kernels are plump and milky, check ripeness by piercing a kernel, harvest in the morning when cool"
Grape,"Grapes are versatile fruits used for fresh consumption, wine making, and raisins. They are rich in antioxidants, resveratrol, and vitamins. Grapevines are long-lived plants that can produce fruit for 30+ years with proper care.","Late winter to early spring (February-April)","2-3 years to first fruit, 5-7 years to full production","Well-drained, deep soil with pH 5.5-7.0","Deep watering weekly, reduce watering as fruit matures","Full sun (6-8 hours daily)","-10°C to 35°C (varies by variety, USDA zones 5-9)","Plant dormant bare-root vines or container plants","6-8 feet apart in rows 8-10 feet apart","Apply balanced fertilizer in early spring, avoid excessive nitrogen","Prune annually in late winter, train vines on trellis, improve air circulation, remove diseased leaves, use disease-resistant varieties, apply fungicides preventively","Late summer to early fall (August-October)","Protect from birds, harvest when fully ripe, test sugar content for wine grapes, provide support structure"
Orange,"Oranges are citrus fruits known for their high vitamin C content and refreshing flavor. They are excellent sources of antioxidants and fiber. Orange trees are evergreen and can produce fruit for 50+ years in suitable climates.","Spring (March-May), Fall (September-November)","3-5 years to first fruit, 8-12 years to full production","Well-drained, sandy loam soil with pH 6.0-7.5","Deep watering weekly, reduce frequency in winter","Full sun (6-8 hours daily)","10°C to 35°C (hardy in USDA zones 9-11, protect from frost)","Plant container-grown trees in spring or fall","15-20 feet apart","Apply citrus-specific fertilizer 3-4 times per year","Protect from frost, monitor for citrus greening disease, apply horticultural oil for pests, ensure good drainage, prune to improve air circulation, remove diseased branches immediately","Winter to early spring (December-April)","Protect from freezing temperatures, provide wind protection, maintain consistent moisture, mulch around base"
Peach,"Peaches are juicy stone fruits with fuzzy skin and sweet, aromatic flesh. They are rich in vitamins A and C, fiber, and antioxidants. Peach trees are relatively short-lived but produce abundant fruit when well-maintained.","Late winter to early spring (February-March)","2-4 years to first fruit, 5-7 years to full production","Well-drained, sandy loam soil with pH 6.0-7.0","Deep watering weekly, more frequent during fruit development","Full sun (6-8 hours daily)","-10°C to 30°C (hardy in USDA zones 5-9)","Plant bare-root or container trees in early spring","12-15 feet apart","Apply balanced fertilizer in early spring, avoid late season fertilization","Prune annually in late winter, thin fruit to prevent branch breakage, monitor for peach leaf curl, apply dormant oil spray, use disease-resistant varieties","Early to late summer (May-August)","Protect from late spring frosts, thin fruit clusters, harvest when fully ripe, provide winter protection in cold climates"
Pepper Bell,"Bell peppers are mild, sweet peppers available in various colors (green, red, yellow, orange). They are rich in vitamins A and C, antioxidants, and fiber. Bell peppers are warm-season vegetables that produce abundant fruit.","Spring (after last frost, April-June)","70-90 days from transplanting","Well-drained, fertile soil with pH 6.0-7.0","1-2 inches of water per week, consistent moisture","Full sun (6-8 hours daily)","20°C to 30°C (warm season crop, protect from frost)","Start seeds indoors 8-10 weeks before last frost, transplant outdoors","18-24 inches apart in rows 24-30 inches apart","Apply balanced fertilizer at planting and again when first fruits appear","Rotate crops annually, provide support for heavy fruit, mulch to retain moisture, monitor for pests, use row covers for early season protection","Mid to late summer (July-September)","Harvest green peppers early or wait for color change, cut peppers from plant with stem, continue harvesting to encourage more fruit production"
Potato,"Potatoes are starchy tuber vegetables and one of the world's most important food crops. They are rich in carbohydrates, vitamin C, and potassium. Potatoes are versatile and can be stored for long periods.","Spring (2-3 weeks before last frost, March-May)","70-120 days depending on variety","Well-drained, loose, sandy soil with pH 5.0-6.0","1-2 inches of water per week, consistent moisture","Full sun (6-8 hours daily)","15°C to 25°C (cool season crop)","Plant seed potatoes (cut pieces with eyes) 4-6 inches deep","12-15 inches apart in rows 30-36 inches apart","Apply low-nitrogen fertilizer at planting, avoid excessive nitrogen","Rotate crops annually, hill soil around plants as they grow, remove weeds carefully, use certified disease-free seed potatoes, monitor for late blight","Late summer to early fall (August-October)","Harvest when plants die back, cure potatoes in dark, cool place for 2 weeks before storage, store in cool, dark, dry location"
Raspberry,"Raspberries are delicate, sweet berries rich in antioxidants, vitamin C, and fiber. They come in red, black, and yellow varieties. Raspberry canes are perennial and can produce fruit for 10+ years with proper care.","Late winter to early spring (February-April)","1-2 years to first fruit, 3-4 years to full production","Well-drained, fertile soil with pH 5.5-6.5","1-2 inches of water per week, consistent moisture","Full sun (6-8 hours daily)","-20°C to 30°C (hardy in USDA zones 3-9)","Plant bare-root or container plants in early spring","2-3 feet apart in rows 6-8 feet apart","Apply balanced fertilizer in early spring, avoid excessive nitrogen","Prune annually to remove old canes, provide trellis support, mulch to retain moisture, monitor for pests, use disease-resistant varieties","Early to mid-summer (June-August) for summer-bearing, fall for everbearing","Protect from birds with netting, harvest when fully ripe, prune after harvest, provide winter protection in cold climates"
Soybean,"Soybeans are legumes rich in protein, fiber, and essential amino acids. They are used for food, animal feed, and industrial purposes. Soybeans are important for soil health as they fix nitrogen.","Spring (after last frost, May-June)","75-100 days depending on variety","Well-drained, fertile soil with pH 6.0-7.0","1-2 inches of water per week, more during pod development","Full sun (6-8 hours daily)","15°C to 30°C (warm season crop)","Plant seeds directly in ground 1-2 inches deep","2-4 inches apart in rows 24-30 inches apart","Inoculate seeds with nitrogen-fixing bacteria, apply phosphorus fertilizer if needed","Rotate crops annually, inoculate seeds with rhizobia bacteria, monitor for pests, use disease-resistant varieties, avoid planting in same area consecutively","Late summer to early fall (August-October)","Harvest when pods are dry and brown, allow plants to dry before harvesting, thresh to remove beans from pods"
Squash,"Squash includes summer squash (zucchini, yellow squash) and winter squash (pumpkin, butternut). They are rich in vitamins A and C, fiber, and antioxidants. Squash plants are prolific producers in warm weather.","Spring (after last frost, April-June)","50-120 days depending on variety","Well-drained, fertile soil with pH 6.0-7.0","1-2 inches of water per week, consistent moisture","Full sun (6-8 hours daily)","20°C to 30°C (warm season crop, protect from frost)","Start seeds indoors 3-4 weeks before last frost or direct sow","24-36 inches apart in rows 4-6 feet apart","Apply balanced fertilizer at planting and again when vines start to run","Rotate crops annually, provide adequate spacing, mulch to retain moisture, monitor for squash bugs and vine borers, hand-pollinate if needed","Summer squash: 50-70 days, Winter squash: 80-120 days","Harvest summer squash when small and tender, harvest winter squash when skin is hard, cure winter squash before storage"
Strawberry,"Strawberries are sweet, aromatic berries rich in vitamin C, antioxidants, and fiber. They are one of the most popular garden fruits. Strawberry plants are perennial and can produce fruit for 3-5 years.","Early spring (March-April) or fall (September-October)","First year: light crop, Second year: full production","Well-drained, fertile soil with pH 5.5-6.5","1-2 inches of water per week, consistent moisture","Full sun (6-8 hours daily)","-10°C to 30°C (hardy in USDA zones 3-10)","Plant bare-root or container plants in early spring or fall","12-18 inches apart in rows 3-4 feet apart","Apply balanced fertilizer in early spring and after harvest","Mulch with straw to keep fruit clean, remove runners to focus energy on fruit, monitor for pests and diseases, use disease-resistant varieties, provide winter protection","Late spring to early summer (May-July)","Protect from birds with netting, harvest when fully ripe, remove old leaves after harvest, renovate beds annually"
Tomato,"Tomatoes are one of the most popular garden vegetables (technically fruits). They are rich in lycopene, vitamin C, and antioxidants. Tomatoes come in many varieties and are versatile in cooking.","Spring (after last frost, April-June)","60-90 days from transplanting depending on variety","Well-drained, fertile soil with pH 6.0-7.0","1-2 inches of water per week, consistent moisture, avoid overhead watering","Full sun (6-8 hours daily)","20°C to 30°C (warm season crop, protect from frost)","Start seeds indoors 6-8 weeks before last frost, transplant outdoors","18-36 inches apart depending on variety, rows 3-4 feet apart","Apply balanced fertilizer at planting and again when first fruits appear","Rotate crops annually, provide support (stakes or cages), prune indeterminate varieties, mulch to retain moisture, monitor for pests and diseases, use disease-resistant varieties","Mid to late summer (July-September)","Harvest when fully ripe, continue harvesting to encourage more fruit, protect from extreme heat, provide adequate support"

